user_id,verified_x,followers_count,following_count,tweet_count,listed_count,account_age_days,follower_following_ratio,tweets_per_day,listed_per_follower,in_degree,out_degree,degree_ratio,pagerank,hits_authority,hits_hub,betweenness,clustering_coef,tweet_count_actual,avg_retweets,avg_likes,avg_replies,avg_hashtags,avg_mentions,total_engagement,influence_score,influential,screen_name,verified_y,favourite_topic,rank
427,0,22700,1376,81,4,1240,16.497093023255815,0.0653225806451612,0.0001762114537444,493,8,61.625,0.1058457979892024,0.1188760677135123,0.0016355470665065,0.4123099321776171,0.0281419548475403,7.0,3.4285714285714284,9.857142857142858,1.1428571428571428,2.4285714285714284,1.4285714285714286,14.428571428571429,0.8332417549123863,1,user_0427,0,Politics,1
449,0,7350,1473,39,1,1419,4.989816700610998,0.0274841437632135,0.0001360544217687,375,6,62.5,0.08471939997876,0.0966392709272443,0.0011704149272431,0.1880861328149803,0.0333975044563279,5.0,2.0,7.0,0.8,1.8,2.0,9.8,0.4685974073010459,1,user_0449,0,Travel,2
443,0,3690,127,29,3,3200,29.055118110236226,0.0090625,0.0008130081300813,242,10,24.2,0.0628945542441025,0.0633245335711712,0.002105164884279,0.0754500129066792,0.0440019910403185,3.0,3.6666666666666665,7.333333333333333,0.6666666666666666,3.333333333333333,2.0,11.666666666666666,0.3223696335257065,1,user_0443,0,Fashion,3
155,0,3370,1696,34,2,2591,1.9870283018867925,0.0131223465843303,0.000593471810089,232,6,38.66666666666666,0.0537879755981415,0.0612458215627625,0.0021648729334895,0.0678024792715516,0.0450827189024613,9.0,1.3333333333333333,11.77777777777778,2.888888888888889,2.7777777777777777,1.3333333333333333,16.0,0.3142499992828584,1,user_0155,0,Finance,4
379,0,1810,1814,8,4,353,0.9977949283351708,0.0226628895184136,0.0022099447513812,144,6,24.0,0.0309954574232946,0.0359077055494671,0.0018307042899472,0.0266770213557895,0.0503355704697986,5.0,6.8,18.2,1.4,1.8,1.2,26.4,0.2723282789615272,1,user_0379,0,Fashion,5
345,0,10,1174,54,3,1168,0.0085178875638841,0.0462328767123287,0.3,2,10,0.2,0.0004455817321153,0.0005580912257392,0.002406093106507,9.139750719105724e-05,0.4696969696969697,3.0,3.6666666666666665,39.66666666666666,0.0,2.0,1.0,43.33333333333333,0.2504581312195411,1,user_0345,0,Gaming,6
203,0,2340,322,34,5,3322,7.267080745341615,0.0102347983142685,0.0021367521367521,174,9,19.33333333333333,0.0390990827371978,0.0455322349283008,0.00253695536771,0.0306212175584121,0.0522440170126325,8.0,0.75,15.25,1.0,2.25,1.875,17.0,0.2488837908959812,1,user_0203,0,Politics,7
436,1,2440,1333,28,1,901,1.8304576144036009,0.0310765815760266,0.0004098360655737,194,9,21.55555555555556,0.0252781064363095,0.0508851720904382,0.0022185338699886,0.0523260267462549,0.0440703517587939,6.0,3.6666666666666665,8.5,3.0,2.1666666666666665,1.5,15.166666666666666,0.2106527692201201,1,user_0436,1,Tech,8
499,0,1750,1437,56,6,1447,1.2178148921363954,0.0387007601935038,0.0034285714285714,135,10,13.5,0.031230202601934,0.0341563389294321,0.0023230354977396,0.0228328534195056,0.0589928057553956,5.0,1.6,12.2,2.2,3.2,1.0,16.0,0.2104697287724933,1,user_0499,0,AI,9
416,0,360,232,33,5,2384,1.5517241379310345,0.0138422818791946,0.0138888888888888,33,7,4.714285714285714,0.0106762938354111,0.0084936658771124,0.0021467192217438,0.0013587326123778,0.1470985155195681,2.0,6.0,23.0,0.5,3.0,2.5,29.5,0.2042009605941354,1,user_0416,0,Finance,10
65,0,2010,1837,10,6,219,1.0941752857920524,0.045662100456621,0.0029850746268656,163,6,27.166666666666668,0.0287798202027748,0.041627760771221,0.0018809724792495,0.0349884563118012,0.0538884192730346,5.0,0.8,10.8,2.8,2.4,1.8,14.400000000000002,0.2030351116554146,1,user_0065,0,Sports,11
287,0,320,1354,17,15,3993,0.2363367799113737,0.0042574505384422,0.046875,26,5,5.2,0.0149722424728938,0.0066041017936784,0.0018147905124573,0.000567159379102,0.160919540229885,7.0,5.428571428571429,18.857142857142858,2.142857142857143,3.142857142857143,0.5714285714285714,26.428571428571427,0.1978671544579442,1,user_0287,0,Sports,12
347,0,60,181,53,6,1047,0.3314917127071823,0.0506208213944603,0.1,8,9,0.8888888888888888,0.0006144150802332,0.0020289981547086,0.0019164583780909,0.0001428191233257,0.3014705882352941,4.0,10.75,19.0,2.0,2.75,0.5,31.75,0.1846869413150583,1,user_0347,0,Fashion,13
202,0,10,832,43,6,3862,0.0120192307692307,0.011134127395132,0.6,0,6,0.0,0.0003,-0.0,0.0023599236082384,5.832047075350864e-07,0.8666666666666667,2.0,2.0,28.0,2.0,0.0,2.5,32.0,0.1846156675073926,1,user_0202,0,Finance,14
228,0,10,88,63,3,1868,0.1136363636363636,0.0337259100642398,0.3,3,10,0.3,0.0006122152958282,0.0006010950142732,0.0020668798314819,2.353325925312124e-05,0.3974358974358974,2.0,6.5,24.0,1.0,1.5,1.0,31.5,0.1826296153127798,1,user_0228,0,Gaming,15
101,0,210,775,55,3,2666,0.2709677419354839,0.0206301575393848,0.0142857142857142,23,5,4.6,0.0015918097449273,0.005461293645499,0.00200094534211,0.0006182251112429,0.2037037037037037,3.0,7.666666666666667,20.33333333333333,2.0,1.6666666666666667,1.6666666666666667,30.0,0.1792522193467876,1,user_0101,0,Music,16
70,1,10,1806,44,19,785,0.0055370985603543,0.0560509554140127,1.9,0,9,0.0,0.0003,-0.0,0.0016502181957847,1.8982741460945955e-06,0.4444444444444444,5.0,10.8,19.0,1.0,2.6,2.4,30.8,0.1776932284878257,1,user_0070,1,Health,17
265,0,10,1680,49,4,3206,0.0059523809523809,0.0152838427947598,0.4,2,10,0.2,0.0008054582857109,0.0004704751242613,0.000982956713255,1.141464158251886e-05,0.2121212121212121,4.0,3.75,21.5,5.25,2.5,1.25,30.5,0.177403773829458,1,user_0265,0,Gaming,18
328,0,70,615,13,1,3801,0.1138211382113821,0.0034201525914233,0.0142857142857142,3,14,0.2142857142857142,0.0006146160710781,0.000703012836043,0.0029892913222439,0.0001514820997305,0.4632352941176471,8.0,6.25,21.5,1.5,2.75,2.125,29.25,0.1703788185458076,1,user_0328,0,Health,19
266,0,10,1536,85,3,607,0.0065104166666666,0.1400329489291598,0.3,1,9,0.1111111111111111,0.0003232883621368,0.0003310375503861,0.002241372521571,9.455118238763684e-05,0.5111111111111111,3.0,5.333333333333333,23.33333333333333,0.6666666666666666,4.0,1.3333333333333333,29.33333333333333,0.1693428274520724,1,user_0266,0,Fashion,20
335,0,210,1450,49,0,3863,0.1448275862068965,0.0126844421434118,0.0,21,8,2.625,0.0205791116817706,0.0050913110496503,0.0017879593977736,0.0006404748765409,0.2022792022792023,4.0,5.5,10.25,2.75,3.25,1.25,18.5,0.1668857573872505,1,user_0335,0,Music,21
262,0,10,485,10,3,3122,0.0206185567010309,0.0032030749519538,0.3,0,6,0.0,0.0003,-0.0,0.0018601030181101,1.3055728617661434e-06,0.6666666666666666,5.0,4.0,23.2,1.6,1.8,1.4,28.8,0.1661544794468387,1,user_0262,0,Health,22
465,0,80,1950,20,4,2940,0.041025641025641,0.0068027210884353,0.05,6,5,1.2,0.0031008411014707,0.001418994378999,0.0013612614126336,0.0001095611194848,0.3454545454545454,7.0,9.0,17.857142857142858,0.2857142857142857,1.5714285714285714,2.0,27.142857142857142,0.1653788375724412,1,user_0465,0,Sports,23
29,0,10,1664,47,0,2317,0.0060096153846153,0.020284851100561,0.0,5,7,0.7142857142857143,0.0004760831234647,0.0013309158417713,0.0013168330939505,6.44503688044935e-05,0.303030303030303,6.0,5.333333333333333,22.33333333333333,0.8333333333333334,2.1666666666666665,2.0,28.5,0.1649548330208066,1,user_0029,0,Politics,24
414,0,210,789,22,6,3847,0.2661596958174905,0.0057187418767871,0.0285714285714285,20,11,1.818181818181818,0.0024636327464883,0.0045162534273604,0.002559561796296,0.0006289344022488,0.2,2.0,6.5,18.0,2.5,3.0,2.0,27.0,0.1644277636048388,1,user_0414,0,Health,25
420,0,10,1219,34,2,1166,0.0082034454470877,0.0291595197255574,0.2,0,6,0.0,0.0003,-0.0,0.0016485474387017,1.643515446644851e-05,0.6666666666666666,5.0,5.4,22.0,0.8,3.4,1.6,28.2,0.1627002799216449,1,user_0420,0,Travel,26
112,0,20,1489,79,1,2545,0.0134318334452652,0.031041257367387,0.05,1,7,0.1428571428571428,0.0003266800445483,0.0002223345476573,0.0020386031739315,4.679929431143972e-06,0.5357142857142857,5.0,2.8,23.8,1.4,1.8,1.6,28.0,0.1617267468382236,1,user_0112,0,Sports,27
115,0,10,136,73,4,2346,0.0735294117647058,0.0311167945439045,0.4,2,7,0.2857142857142857,0.0011573962318158,0.0004878986308855,0.002072629315483,2.9254658996069524e-05,0.5555555555555556,2.0,0.5,27.0,0.0,2.0,0.5,27.5,0.1611050723656442,1,user_0115,0,Travel,28
242,0,10,287,8,2,3113,0.0348432055749128,0.0025698682942499,0.2,0,6,0.0,0.0003,-0.0,0.0015902620816728,7.389902415086869e-06,0.6,6.0,7.833333333333333,18.83333333333333,1.1666666666666667,1.5,1.1666666666666667,27.83333333333333,0.1605805077078917,1,user_0242,0,Sports,29
318,0,20,986,91,5,1274,0.0202839756592292,0.0714285714285714,0.25,2,4,0.5,0.0003606761063405,0.0005527338407034,0.0017084578962592,0.0,0.6666666666666666,2.0,4.0,21.0,2.5,3.0,3.0,27.5,0.1589364906686447,1,user_0318,0,Sports,30
5,0,10,1136,61,2,3781,0.0088028169014084,0.0161332980692938,0.2,1,8,0.125,0.0003613238104395,0.0001270413279685,0.0020442231575298,4.916578663368124e-05,0.5555555555555556,2.0,7.5,17.5,2.5,1.5,2.5,27.5,0.1588519999316858,1,user_0005,0,Fashion,31
476,0,30,98,17,7,2437,0.3061224489795918,0.0069757899056216,0.2333333333333333,1,9,0.1111111111111111,0.0003349459678368,0.0002123266883025,0.0018360759683871,6.820858568338994e-05,0.4444444444444444,5.0,6.0,20.6,0.6,1.2,2.0,27.200000000000003,0.157275853686753,1,user_0476,0,Sports,32
